# MOD=16QAM SNR=12
# tx_real  tx_imag  rx_real  rx_imag
0.948683 -0.316228 0.292441 -0.665736
-0.316228 -0.948683 -0.338463 -0.531285
0.948683 -0.316228 0.927916 0.092102
0.316228 0.948683 0.103067 0.968257
-0.316228 0.316228 -0.351361 0.433642
-0.316228 0.316228 -0.420809 0.178971
0.316228 0.948683 0.412094 0.926367
0.316228 -0.316228 0.287579 -0.782846
0.948683 0.316228 0.755375 0.407580
-0.316228 0.948683 -0.531813 0.970231
-0.316228 -0.316228 -0.364236 -0.164439
-0.948683 -0.316228 -1.019617 -0.271257
0.948683 0.948683 0.809547 1.045356
0.948683 -0.316228 1.016712 -0.405617
0.316228 0.948683 0.130267 1.198839
-0.948683 0.948683 -0.973102 1.028196
0.316228 0.316228 0.229832 0.437578
0.316228 -0.316228 0.196650 -0.353024
-0.316228 -0.948683 -0.219822 -1.025904
-0.948683 -0.948683 -0.879714 -0.896778
0.948683 0.316228 0.843324 0.621482
-0.316228 -0.316228 -0.311651 -0.430138
-0.316228 -0.316228 -0.216881 -0.028466
0.948683 -0.948683 1.068766 -0.760405
0.948683 0.316228 1.177091 0.215000
-0.948683 -0.316228 -1.027047 -0.192864
0.948683 -0.316228 1.102919 -0.346921
0.316228 0.948683 0.601272 1.172723
-0.948683 -0.948683 -0.977830 -0.999904
-0.948683 0.316228 -1.155818 0.185318
-0.948683 0.316228 -0.811474 0.617150
0.316228 0.948683 0.217254 1.170044
-0.948683 0.948683 -0.798458 0.958219
-0.316228 0.316228 -0.331091 0.482432
0.316228 0.316228 0.462430 0.300426
-0.316228 0.948683 -0.359188 0.911447
0.316228 -0.316228 0.291112 -0.432230
0.948683 0.948683 0.547023 0.955335
0.948683 -0.948683 1.192939 -0.952430
0.948683 -0.316228 0.853952 -0.277168
-0.948683 -0.948683 -0.955500 -0.827143
-0.948683 -0.948683 -0.613737 -0.943564
0.948683 -0.316228 0.678606 -0.178073
0.948683 0.316228 0.762142 0.335507
0.948683 -0.948683 0.879138 -0.700580
-0.316228 -0.316228 -0.029844 -0.472439
0.316228 -0.948683 0.470294 -1.131821
0.948683 0.948683 0.808496 0.797813
-0.316228 0.948683 -0.679890 0.829012
0.316228 -0.316228 0.255675 -0.460859
0.316228 -0.948683 0.580851 -0.568067
-0.316228 0.316228 -0.422313 0.040722
-0.316228 0.316228 0.193024 0.494111
0.316228 0.948683 0.065424 0.877568
-0.948683 0.316228 -1.045414 0.198386
-0.948683 0.948683 -0.827046 1.026541
-0.948683 0.316228 -1.001273 0.214464
-0.948683 -0.316228 -0.812100 -0.156804
0.948683 -0.948683 0.885572 -0.945924
-0.316228 0.316228 -0.386987 0.195453
0.948683 -0.948683 0.982818 -0.924841
0.948683 0.316228 0.906202 0.485252
0.316228 0.948683 0.462477 0.777404
-0.948683 0.948683 -0.622858 0.843981
0.948683 -0.948683 0.784310 -1.178263
0.948683 0.948683 0.701533 1.058788
0.948683 -0.948683 0.953709 -1.290331
0.948683 0.948683 0.779034 1.037635
-0.316228 0.948683 -0.398747 0.891194
0.948683 0.948683 1.166864 0.836663
0.948683 -0.948683 0.591063 -1.079894
-0.316228 0.316228 -0.411436 0.536615
0.948683 -0.948683 0.709911 -1.179519
0.948683 0.948683 0.935944 0.868938
0.948683 0.948683 1.079912 0.694806
-0.316228 -0.948683 -0.012846 -0.976320
0.948683 -0.316228 1.080441 -0.242273
0.948683 -0.316228 1.127039 -0.555575
-0.316228 0.948683 -0.225673 0.899357
0.316228 -0.316228 0.404984 -0.280818
-0.948683 0.948683 -0.687814 0.792800
0.948683 -0.316228 1.016687 -0.175332
0.316228 0.316228 0.515937 0.209884
0.316228 0.948683 0.287947 0.868389
0.316228 -0.316228 0.385379 -0.468580
0.316228 -0.948683 0.414797 -1.085539
0.948683 -0.316228 0.838539 -0.148692
0.316228 -0.948683 0.194862 -0.671183
-0.948683 0.316228 -0.675396 0.400500
-0.948683 -0.316228 -0.754256 -0.334810
0.948683 0.316228 1.263826 0.363573
0.316228 -0.948683 0.314900 -0.977423
-0.316228 -0.316228 -0.155509 -0.376399
-0.316228 0.316228 -0.236921 0.497012
-0.948683 -0.948683 -1.073151 -0.908885
0.948683 0.948683 0.713518 0.704345
0.316228 -0.948683 0.161732 -1.042483
-0.316228 -0.948683 -0.367834 -1.244672
-0.948683 -0.948683 -0.880948 -1.051164
0.316228 0.948683 0.360397 1.023495
-0.316228 0.316228 -0.333494 0.536947
0.316228 0.316228 0.493922 0.231239
0.948683 -0.948683 1.034752 -0.956756
-0.316228 0.948683 -0.351722 0.860271
0.948683 0.948683 0.925945 1.094217
-0.316228 0.316228 -0.078497 0.458846
-0.948683 -0.316228 -0.953459 -0.232924
0.948683 0.948683 1.128679 1.029577
0.316228 0.316228 -0.013265 0.417766
-0.948683 -0.948683 -1.009335 -0.726852
-0.948683 0.948683 -1.015923 1.222509
-0.316228 0.316228 -0.258741 -0.123854
0.316228 -0.316228 0.442863 -0.336810
0.948683 0.316228 1.000299 0.292255
-0.316228 0.316228 -0.427524 0.081965
-0.948683 0.316228 -0.819155 0.503665
-0.948683 0.316228 -1.166039 0.144088
-0.948683 0.316228 -1.016105 0.326433
0.948683 -0.948683 0.935527 -0.987958
0.316228 -0.948683 0.317334 -0.811453
-0.948683 -0.316228 -0.876783 -0.278707
-0.948683 -0.316228 -1.111868 -0.272180
0.316228 -0.948683 0.409942 -0.840572
0.948683 0.316228 1.208411 0.241745
0.316228 -0.948683 0.261995 -0.756349
-0.948683 0.948683 -1.124167 0.976244
0.316228 0.316228 0.144308 0.416562
-0.316228 -0.948683 -0.300997 -1.237205
0.948683 -0.948683 1.030286 -0.751806
-0.316228 -0.948683 -0.166183 -0.891107
-0.948683 0.316228 -0.577157 0.471226
-0.316228 -0.316228 -0.089460 -0.483445
-0.316228 -0.948683 -0.408798 -0.961072
0.948683 -0.948683 0.999983 -1.037086
-0.948683 -0.316228 -0.907100 -0.452255
0.316228 -0.948683 0.327550 -0.744545
-0.948683 -0.316228 -1.015780 -0.208361
-0.316228 -0.316228 0.053297 -0.501251
-0.948683 -0.948683 -1.239603 -0.882200
-0.316228 -0.948683 -0.156621 -0.867412
-0.316228 -0.316228 -0.268446 -0.349058
0.948683 0.316228 1.265535 0.028603
0.948683 -0.316228 0.902117 -0.368427
0.316228 -0.316228 0.517758 -0.441158
-0.948683 0.316228 -0.854285 0.254378
0.316228 0.948683 0.557309 0.923433
0.316228 -0.948683 0.260102 -0.749957
0.316228 0.316228 0.523190 0.448751
0.948683 0.316228 1.371347 0.271462
0.316228 -0.948683 0.003130 -1.004942
0.316228 0.316228 0.475494 0.151533
0.948683 0.948683 0.861948 0.997417
0.316228 -0.316228 0.458865 -0.576227
0.948683 -0.316228 1.026960 -0.420487
-0.316228 0.948683 -0.141654 1.314941
0.316228 0.948683 0.402389 1.178341
-0.316228 -0.948683 -0.132071 -0.861054
0.948683 -0.948683 1.174012 -0.800350
0.316228 0.948683 0.331741 0.836334
0.316228 0.948683 0.211133 0.957037
0.316228 -0.316228 0.237539 -0.286843
0.316228 0.948683 0.201020 0.936072
0.316228 -0.316228 0.583951 -0.268962
-0.316228 0.316228 -0.303581 0.185021
0.948683 -0.316228 0.924255 -0.320996
-0.316228 -0.316228 -0.140845 -0.289648
0.316228 0.948683 0.382836 0.651765
0.948683 0.948683 0.904891 0.969656
-0.948683 0.316228 -0.777696 0.573223
0.316228 -0.316228 0.379456 -0.276360
0.948683 -0.948683 0.932005 -0.829992
0.316228 -0.948683 0.239578 -1.194603
0.316228 -0.316228 0.317777 -0.034575
-0.316228 -0.316228 -0.333050 -0.088035
0.948683 0.948683 1.371463 1.131453
0.948683 0.948683 0.703540 0.677532
-0.948683 -0.316228 -1.004297 -0.246900
-0.948683 -0.948683 -1.094283 -0.931244
-0.948683 -0.948683 -1.246405 -1.433825
-0.316228 -0.316228 -0.118755 -0.182219
0.316228 0.948683 0.131487 0.797288
-0.316228 0.948683 -0.423641 1.162617
0.948683 0.948683 0.850921 0.544548
-0.316228 -0.948683 -0.507176 -1.174958
0.948683 -0.316228 1.069810 -0.214720
0.316228 0.316228 0.463896 0.289510
-0.316228 0.316228 -0.372857 0.527280
0.948683 -0.948683 0.864789 -1.169816
0.948683 -0.316228 0.809124 -0.240170
0.316228 0.948683 0.345501 0.879586
-0.948683 -0.948683 -1.045499 -0.913936
-0.316228 -0.948683 -0.336460 -1.293817
0.948683 -0.316228 0.968812 -0.510045
0.948683 0.316228 0.824988 0.447360
-0.316228 -0.316228 -0.166401 -0.483559
-0.948683 0.948683 -1.000157 1.215509
-0.316228 -0.948683 -0.478750 -0.930015
-0.948683 0.948683 -0.969070 0.980274
-0.316228 -0.948683 -0.588299 -0.863493
-0.948683 -0.948683 -1.198426 -0.842609
-0.948683 0.316228 -1.030083 0.169706
0.316228 0.316228 0.227714 0.507871
-0.948683 0.948683 -1.036787 0.909136
0.316228 0.316228 0.480147 0.263914
-0.948683 0.948683 -0.893484 1.178458
0.948683 0.316228 0.922015 0.009937
-0.316228 -0.316228 -0.266841 -0.392695
-0.948683 0.948683 -0.969130 0.937301
-0.948683 0.948683 -0.723936 0.957853
-0.316228 0.948683 -0.422133 1.216474
0.948683 0.316228 0.823153 0.214290
0.316228 -0.316228 0.190551 -0.574352
-0.948683 0.948683 -1.074630 1.181126
-0.948683 0.948683 -0.771625 0.934222
0.316228 -0.316228 0.301325 -0.584921
-0.948683 0.948683 -0.582680 0.796873
0.948683 0.316228 0.936514 0.457455
-0.948683 -0.948683 -0.954233 -1.252997
-0.316228 -0.316228 -0.319085 -0.467919
0.316228 -0.316228 0.182052 -0.431304
0.316228 -0.948683 0.333658 -0.777196
0.948683 0.316228 1.048172 0.395334
-0.948683 0.316228 -1.149039 0.364039
0.316228 0.316228 0.237265 0.077118
-0.316228 -0.316228 -0.313486 -0.097743
-0.948683 -0.316228 -0.805755 -0.448811
-0.316228 0.948683 -0.525472 1.012554
0.316228 0.948683 0.653471 1.108572
0.948683 -0.316228 1.005163 -0.410491
-0.316228 -0.316228 -0.479729 -0.509933
0.948683 0.948683 0.936307 0.783152
0.948683 -0.316228 1.143515 -0.292302
0.948683 -0.316228 0.946534 -0.190053
0.948683 -0.948683 1.039582 -1.171156
-0.948683 0.316228 -0.730032 0.361879
-0.948683 -0.948683 -0.860946 -0.975881
-0.316228 -0.316228 -0.416427 -0.416007
0.316228 -0.948683 0.300517 -0.836456
-0.948683 0.316228 -0.660988 0.312837
0.316228 0.948683 0.147562 0.734486
0.316228 0.316228 0.029825 0.500794
0.316228 0.948683 0.578755 0.941058
0.316228 -0.948683 0.396140 -0.759691
-0.316228 -0.316228 -0.173515 -0.127861
-0.948683 -0.316228 -0.958234 -0.071599
-0.316228 0.316228 -0.328991 0.265108
-0.948683 0.948683 -0.869189 0.941901
0.948683 -0.316228 0.848740 -0.112652
0.948683 0.316228 0.815881 0.226254
0.948683 0.948683 1.063105 0.649486
-0.316228 0.316228 -0.432419 0.385440
0.316228 -0.316228 0.852320 -0.144685
-0.316228 -0.316228 -0.397793 -0.295357
0.316228 -0.316228 0.076852 -0.906805
-0.948683 -0.316228 -1.262620 -0.379436
0.316228 0.316228 0.119668 0.429887
0.948683 -0.316228 0.805071 -0.386245
-0.948683 -0.316228 -1.198744 -0.531657
0.316228 -0.316228 0.439918 -0.569026
-0.948683 -0.948683 -1.139879 -0.735557
0.948683 0.948683 0.644235 0.835632
-0.948683 0.948683 -0.960408 0.926402
0.316228 0.948683 0.147467 0.916882
-0.948683 -0.948683 -0.884183 -0.838478
-0.948683 0.948683 -0.743592 0.993577
-0.948683 -0.948683 -0.656484 -1.186319
0.316228 0.316228 0.305716 0.740825
0.316228 -0.316228 0.225768 -0.200534
0.316228 0.948683 0.134730 1.302401
-0.948683 -0.948683 -0.756083 -1.099276
-0.948683 -0.948683 -1.016243 -1.318016
0.948683 -0.316228 1.002568 -0.319204
-0.948683 -0.948683 -0.983690 -0.906038
-0.948683 -0.948683 -0.783929 -1.217140
-0.948683 -0.948683 -1.056611 -0.811605
-0.948683 -0.948683 -1.036496 -1.084935
-0.316228 0.316228 -0.136061 0.527012
-0.948683 -0.316228 -0.832774 -0.364251
0.948683 0.948683 0.977863 0.892930
-0.316228 -0.316228 -0.194054 -0.235611
0.316228 0.316228 0.084062 -0.014453
0.948683 0.948683 0.932941 0.951670
-0.316228 0.316228 -0.734832 0.200649
-0.316228 0.948683 -0.394294 1.402597
-0.948683 -0.316228 -0.971827 -0.400024
0.948683 -0.948683 0.539467 -0.922326
-0.316228 0.316228 -0.377700 0.128793
-0.316228 -0.316228 -0.249447 -0.149002
